[249]	validation_0-auc:0.952105	validation_1-auc:0.657387
[250]	validation_0-auc:0.952176	validation_1-auc:0.657319
[251]	validation_0-auc:0.952502	validation_1-auc:0.657338
[252]	validation_0-auc:0.952891	validation_1-auc:0.657177
[253]	validation_0-auc:0.953154	validation_1-auc:0.657011
[254]	validation_0-auc:0.953428	validation_1-auc:0.656886
[255]	validation_0-auc:0.9541	validation_1-auc:0.657029
[256]	validation_0-auc:0.954408	validation_1-auc:0.657025
[257]	validation_0-auc:0.954815	validation_1-auc:0.656894
[258]	validation_0-auc:0.955137	validation_1-auc:0.657077
[259]	validation_0-auc:0.955579	validation_1-auc:0.65699
[260]	validation_0-auc:0.955936	validation_1-auc:0.656969
[261]	validation_0-auc:0.956138	validation_1-auc:0.656912
[262]	validation_0-auc:0.956551	validation_1-auc:0.656981
[263]	validation_0-auc:0.956924	validation_1-auc:0.656948
[264]	validation_0-auc:0.957183	validation_1-auc:0.657023
[265]	validation_0-auc:0.957611	validation_1-auc:0.656728
[266]	validation_0-auc:0.957989	validation_1-auc:0.65661
[267]	validation_0-auc:0.958301	validation_1-auc:0.656293
[268]	validation_0-auc:0.958596	validation_1-auc:0.656128
[269]	validation_0-auc:0.959164	validation_1-auc:0.655808
[270]	validation_0-auc:0.959492	validation_1-auc:0.655827
[271]	validation_0-auc:0.95971	validation_1-auc:0.655863
[272]	validation_0-auc:0.959805	validation_1-auc:0.655969
[273]	validation_0-auc:0.960275	validation_1-auc:0.655423
[274]	validation_0-auc:0.960595	validation_1-auc:0.655388
[275]	validation_0-auc:0.960991	validation_1-auc:0.65548
[276]	validation_0-auc:0.961147	validation_1-auc:0.655555
[277]	validation_0-auc:0.96153	validation_1-auc:0.655333
[278]	validation_0-auc:0.961679	validation_1-auc:0.655357
[279]	validation_0-auc:0.96208	validation_1-auc:0.655432
[280]	validation_0-auc:0.962307	validation_1-auc:0.655514
[281]	validation_0-auc:0.962619	validation_1-auc:0.655481
[282]	validation_0-auc:0.962793	validation_1-auc:0.655399
[283]	validation_0-auc:0.963264	validation_1-auc:0.655177
[284]	validation_0-auc:0.963747	validation_1-auc:0.655234
[285]	validation_0-auc:0.963847	validation_1-auc:0.655244
[286]	validation_0-auc:0.963987	validation_1-auc:0.655211
[287]	validation_0-auc:0.964145	validation_1-auc:0.655144
[288]	validation_0-auc:0.964325	validation_1-auc:0.654963
[289]	validation_0-auc:0.964697	validation_1-auc:0.655095
[290]	validation_0-auc:0.96506	validation_1-auc:0.65505
[291]	validation_0-auc:0.965325	validation_1-auc:0.654812
[292]	validation_0-auc:0.965674	validation_1-auc:0.654587
[293]	validation_0-auc:0.965782	validation_1-auc:0.654519
[294]	validation_0-auc:0.96614	validation_1-auc:0.654424
[295]	validation_0-auc:0.966402	validation_1-auc:0.65422
[296]	validation_0-auc:0.966606	validation_1-auc:0.654167
[297]	validation_0-auc:0.966706	validation_1-auc:0.654026
[298]	validation_0-auc:0.966977	validation_1-auc:0.654032
[299]	validation_0-auc:0.967116	validation_1-auc:0.654259
